region,tile_id,object_name,https_url,s3_uri,filename,west,south,east,north
jerusalem,N31E034,Copernicus_DSM_COG_10_N31_00_E034_00_DEM,https://copernicus-dem-30m.s3.eu-central-1.amazonaws.com/Copernicus_DSM_COG_10_N31_00_E034_00_DEM/Copernicus_DSM_COG_10_N31_00_E034_00_DEM.tif,s3://copernicus-dem-30m/Copernicus_DSM_COG_10_N31_00_E034_00_DEM/Copernicus_DSM_COG_10_N31_00_E034_00_DEM.tif,Copernicus_DSM_COG_10_N31_00_E034_00_DEM.tif,34,31,35,32
jerusalem,N31E035,Copernicus_DSM_COG_10_N31_00_E035_00_DEM,https://copernicus-dem-30m.s3.eu-central-1.amazonaws.com/Copernicus_DSM_COG_10_N31_00_E035_00_DEM/Copernicus_DSM_COG_10_N31_00_E035_00_DEM.tif,s3://copernicus-dem-30m/Copernicus_DSM_COG_10_N31_00_E035_00_DEM/Copernicus_DSM_COG_10_N31_00_E035_00_DEM.tif,Copernicus_DSM_COG_10_N31_00_E035_00_DEM.tif,35,31,36,32
jerusalem,N32E034,Copernicus_DSM_COG_10_N32_00_E034_00_DEM,https://copernicus-dem-30m.s3.eu-central-1.amazonaws.com/Copernicus_DSM_COG_10_N32_00_E034_00_DEM/Copernicus_DSM_COG_10_N32_00_E034_00_DEM.tif,s3://copernicus-dem-30m/Copernicus_DSM_COG_10_N32_00_E034_00_DEM/Copernicus_DSM_COG_10_N32_00_E034_00_DEM.tif,Copernicus_DSM_COG_10_N32_00_E034_00_DEM.tif,34,32,35,33
jerusalem,N32E035,Copernicus_DSM_COG_10_N32_00_E035_00_DEM,https://copernicus-dem-30m.s3.eu-central-1.amazonaws.com/Copernicus_DSM_COG_10_N32_00_E035_00_DEM/Copernicus_DSM_COG_10_N32_00_E035_00_DEM.tif,s3://copernicus-dem-30m/Copernicus_DSM_COG_10_N32_00_E035_00_DEM/Copernicus_DSM_COG_10_N32_00_E035_00_DEM.tif,Copernicus_DSM_COG_10_N32_00_E035_00_DEM.tif,35,32,36,33
galilee,N32E034,Copernicus_DSM_COG_10_N32_00_E034_00_DEM,https://copernicus-dem-30m.s3.eu-central-1.amazonaws.com/Copernicus_DSM_COG_10_N32_00_E034_00_DEM/Copernicus_DSM_COG_10_N32_00_E034_00_DEM.tif,s3://copernicus-dem-30m/Copernicus_DSM_COG_10_N32_00_E034_00_DEM/Copernicus_DSM_COG_10_N32_00_E034_00_DEM.tif,Copernicus_DSM_COG_10_N32_00_E034_00_DEM.tif,34,32,35,33
galilee,N32E035,Copernicus_DSM_COG_10_N32_00_E035_00_DEM,https://copernicus-dem-30m.s3.eu-central-1.amazonaws.com/Copernicus_DSM_COG_10_N32_00_E035_00_DEM/Copernicus_DSM_COG_10_N32_00_E035_00_DEM.tif,s3://copernicus-dem-30m/Copernicus_DSM_COG_10_N32_00_E035_00_DEM/Copernicus_DSM_COG_10_N32_00_E035_00_DEM.tif,Copernicus_DSM_COG_10_N32_00_E035_00_DEM.tif,35,32,36,33
galilee,N32E036,Copernicus_DSM_COG_10_N32_00_E036_00_DEM,https://copernicus-dem-30m.s3.eu-central-1.amazonaws.com/Copernicus_DSM_COG_10_N32_00_E036_00_DEM/Copernicus_DSM_COG_10_N32_00_E036_00_DEM.tif,s3://copernicus-dem-30m/Copernicus_DSM_COG_10_N32_00_E036_00_DEM/Copernicus_DSM_COG_10_N32_00_E036_00_DEM.tif,Copernicus_DSM_COG_10_N32_00_E036_00_DEM.tif,36,32,37,33
galilee,N33E034,Copernicus_DSM_COG_10_N33_00_E034_00_DEM,https://copernicus-dem-30m.s3.eu-central-1.amazonaws.com/Copernicus_DSM_COG_10_N33_00_E034_00_DEM/Copernicus_DSM_COG_10_N33_00_E034_00_DEM.tif,s3://copernicus-dem-30m/Copernicus_DSM_COG_10_N33_00_E034_00_DEM/Copernicus_DSM_COG_10_N33_00_E034_00_DEM.tif,Copernicus_DSM_COG_10_N33_00_E034_00_DEM.tif,34,33,35,34
galilee,N33E035,Copernicus_DSM_COG_10_N33_00_E035_00_DEM,https://copernicus-dem-30m.s3.eu-central-1.amazonaws.com/Copernicus_DSM_COG_10_N33_00_E035_00_DEM/Copernicus_DSM_COG_10_N33_00_E035_00_DEM.tif,s3://copernicus-dem-30m/Copernicus_DSM_COG_10_N33_00_E035_00_DEM/Copernicus_DSM_COG_10_N33_00_E035_00_DEM.tif,Copernicus_DSM_COG_10_N33_00_E035_00_DEM.tif,35,33,36,34
galilee,N33E036,Copernicus_DSM_COG_10_N33_00_E036_00_DEM,https://copernicus-dem-30m.s3.eu-central-1.amazonaws.com/Copernicus_DSM_COG_10_N33_00_E036_00_DEM/Copernicus_DSM_COG_10_N33_00_E036_00_DEM.tif,s3://copernicus-dem-30m/Copernicus_DSM_COG_10_N33_00_E036_00_DEM/Copernicus_DSM_COG_10_N33_00_E036_00_DEM.tif,Copernicus_DSM_COG_10_N33_00_E036_00_DEM.tif,36,33,37,34
